income,utilization,age,default
11960.598429058327,0.6167379086383288,70,0
36790.67982021437,0.4083108816660749,38,0
27736.804423858957,0.04895910683747384,26,0
20648.616782742378,0.7777281431284522,46,0
10711.430027635966,0.5554481109416611,67,0
53246.944496650314,0.9003054038691725,34,0
24838.380267732817,0.6203127063041006,63,0
41502.04978728106,0.6096033951405178,37,0
51580.059136876116,0.5570334925072989,35,0
42026.71043687103,0.830045975482804,49,0
32890.970890817734,0.7278100433362937,65,1
50482.68229900444,0.21421753295904622,29,0
47097.66556976203,0.46304920185464327,65,0
48996.57659694498,0.773371868408568,37,0
15902.148793065591,0.26682947487965714,39,0
29845.21040006007,0.2159465047224416,69,0
25882.99635215419,0.8606711903715127,65,0
157629.93525012097,0.1478913821935438,48,0
26047.742597056018,0.08124460941486167,36,0
68099.947575684,0.15473314197968147,30,0
15669.107731949698,0.3609391927096538,37,0
29738.96059989904,0.8434430436306641,72,1
17740.964501230734,0.7624699607405216,33,0
39993.46019721226,0.01667164270890531,65,0
89920.27811975761,0.7213925332314404,31,0
23251.91422138895,0.41207464414805084,57,0
53893.99787696971,0.8789930143284141,44,0
53488.04573491241,0.2830032653608291,54,0
50018.211728314,0.6324351238311102,23,0
32430.51033678777,0.2399679348399293,47,0
33605.47359884321,0.524798233217827,47,0
38866.327612127476,0.30677614235138495,36,0
40278.05211888788,0.26981281898367726,68,0
39273.51777096041,0.7854508363099015,43,0
53610.53274221969,0.42487382012809505,57,0
34091.084547292034,0.811110342879161,70,0
47731.52712979,0.43968190620120595,35,0
42284.62925796051,0.29017560774952034,23,0
20725.636975544705,0.18297908628275195,37,0
22974.590754212095,0.7720531623322275,42,0
48227.27655657953,0.622542690383192,46,0
46268.162035935835,0.14588472877290382,63,0
62392.63915032876,0.6503807165409053,72,0
11878.839670328356,0.2965094917383495,62,1
49358.38235889562,0.7466833381331911,22,0
10869.968877702431,0.9421202180249731,69,0
35309.37385395076,0.442873156706561,38,0
10505.854557971967,0.15949248312724207,68,0
71263.60003651574,0.21945708374750483,70,0
23637.631874522816,0.04740930461499704,46,0
107719.73017071767,0.9921042534203831,33,0
40340.06395355112,0.38436587022656654,45,0
55361.604902421044,0.30781673390134456,29,0
48375.64221141786,0.01867092891298039,37,0
89213.95059265684,0.8875569095341626,27,0
35781.30416190742,0.4087010685768384,48,1
20519.73651086882,0.08909695093120462,31,0
20071.555120834055,0.9955837280193311,27,0
22957.796558476773,0.6725634480712541,30,0
37284.204004602754,0.3243719653060049,73,0
43274.437336901836,0.056399437604057856,66,0
31897.326787417376,0.4851609746284228,30,0
39246.48991992246,0.554814573090733,46,0
78943.26221669395,0.09566227628238,68,0
14996.726849181774,0.443895299683848,30,0
27564.73471173084,0.09724173340951314,27,0
60665.44946672458,0.907855694361016,59,0
21310.806562095946,0.6471209466186456,22,0
61015.358006300165,0.8263754447953007,72,0
29366.20160464016,0.02353076144673172,69,0
27106.663292577046,0.9684800807874062,74,0
32965.56933305107,0.5610919555651224,52,0
39592.43473181175,0.28837966670079695,60,0
30618.309762800174,0.6320089141350569,45,0
77646.62755685134,0.5957822221606607,30,1
30327.153521040625,0.6632025340032005,24,0
66065.56139111314,0.7040209801018816,52,1
62935.71983882562,0.9210369082642298,36,0
32838.45438040182,0.052950031930866115,60,0
73025.55606844882,0.449222505827228,62,0
